customer_key,customer_id,customer_number,first_name,last_name,country,gender,marital_status,birthdate,create_date
68,11067,AW00011067,CALEB,CARTER,UNITED STATES,MALE,SINGLE,1982-03-25,2025-10-07
69,11068,AW00011068,TIFFANY,LIANG,AUSTRALIA,FEMALE,SINGLE,1966-09-19,2025-10-07
70,11069,AW00011069,CAROLYN,NAVARRO,AUSTRALIA,FEMALE,SINGLE,1966-09-17,2025-10-07
71,11070,AW00011070,WILLIE,RAJI,AUSTRALIA,MALE,MARRIED,1960-10-02,2025-10-07
72,11071,AW00011071,LINDA,SERRANO,AUSTRALIA,FEMALE,SINGLE,1960-12-23,2025-10-07
73,11072,AW00011072,CASEY,LUO,AUSTRALIA,FEMALE,SINGLE,1960-08-05,2025-10-07
74,11073,AW00011073,AMY,YE,AUSTRALIA,FEMALE,SINGLE,1962-02-11,2025-10-07
75,11074,AW00011074,LEVI,ARUN,AUSTRALIA,MALE,SINGLE,1962-02-25,2025-10-07
76,11075,AW00011075,FELICIA,JIMENEZ,AUSTRALIA,FEMALE,SINGLE,1963-05-16,2025-10-07
77,11076,AW00011076,BLAKE,ANDERSON,AUSTRALIA,MALE,SINGLE,1963-01-10,2025-10-07
78,11077,AW00011077,LEAH,YE,AUSTRALIA,FEMALE,SINGLE,1963-03-19,2025-10-07
79,11078,AW00011078,GINA,MARTIN,CANADA,FEMALE,SINGLE,1985-01-06,2025-10-07
80,11079,AW00011079,DONALD,GONZALEZ,AUSTRALIA,MALE,SINGLE,1970-03-07,2025-10-07
81,11080,AW00011080,DAMIEN,CHANDER,AUSTRALIA,MALE,MARRIED,1965-01-13,2025-10-07
82,11081,AW00011081,SAVANNAH,BAKER,UNITED STATES,FEMALE,MARRIED,1972-01-21,2025-10-07
83,11082,AW00011082,ANGELA,BUTLER,UNITED STATES,FEMALE,SINGLE,1972-02-01,2025-10-07
84,11083,AW00011083,ALYSSA,COX,UNITED STATES,FEMALE,MARRIED,1977-03-11,2025-10-07
85,11084,AW00011084,LUCAS,PHILLIPS,UNITED STATES,MALE,SINGLE,1963-03-12,2025-10-07
86,11085,AW00011085,EMILY,JOHNSON,UNITED STATES,FEMALE,SINGLE,1963-01-16,2025-10-07
87,11086,AW00011086,RYAN,BROWN,UNITED STATES,MALE,MARRIED,1963-06-22,2025-10-07
88,11087,AW00011087,TAMARA,LIANG,UNITED STATES,FEMALE,MARRIED,1963-04-02,2025-10-07
89,11088,AW00011088,HUNTER,DAVIS,UNITED STATES,MALE,MARRIED,1963-05-25,2025-10-07
90,11089,AW00011089,ABIGAIL,PRICE,UNITED STATES,FEMALE,SINGLE,1962-08-05,2025-10-07
91,11090,AW00011090,TREVOR,BRYANT,UNITED STATES,MALE,SINGLE,1968-12-13,2025-10-07
92,11091,AW00011091,DALTON,PEREZ,CANADA,MALE,MARRIED,1962-10-02,2025-10-07
93,11092,AW00011092,CHERYL,DIAZ,AUSTRALIA,FEMALE,MARRIED,1972-11-02,2025-10-07
94,11093,AW00011093,AIMEE,HE,AUSTRALIA,FEMALE,MARRIED,1978-09-06,2025-10-07
95,11094,AW00011094,CEDRIC,MA,AUSTRALIA,MALE,SINGLE,1967-09-29,2025-10-07
96,11095,AW00011095,CHAD,KUMAR,AUSTRALIA,MALE,SINGLE,1968-02-29,2025-10-07
97,11096,AW00011096,ANDR├⌐S,ANAND,AUSTRALIA,MALE,MARRIED,1968-02-07,2025-10-07
98,11097,AW00011097,EDWIN,NARA,AUSTRALIA,MALE,MARRIED,1972-10-23,2025-10-07
99,11098,AW00011098,MALLORY,RUBIO,AUSTRALIA,FEMALE,SINGLE,1966-10-29,2025-10-07
100,11099,AW00011099,ADAM,ROSS,AUSTRALIA,MALE,MARRIED,1966-09-05,2025-10-07
101,11100,AW00011100,LATASHA,NAVARRO,AUSTRALIA,FEMALE,SINGLE,1966-03-15,2025-10-07
102,11101,AW00011101,ABBY,SAI,AUSTRALIA,FEMALE,SINGLE,1970-11-05,2025-10-07
103,11102,AW00011102,JULIA,NELSON,AUSTRALIA,FEMALE,SINGLE,1970-10-19,2025-10-07
104,11103,AW00011103,CASSIE,CHANDE,AUSTRALIA,FEMALE,SINGLE,1981-04-12,2025-10-07
105,11104,AW00011104,EDGAR,SARA,AUSTRALIA,MALE,MARRIED,1975-03-08,2025-10-07
106,11105,AW00011105,CANDACE,FERNANDEZ,AUSTRALIA,FEMALE,SINGLE,1970-06-27,2025-10-07
107,11106,AW00011106,JESSIE,LIU,AUSTRALIA,MALE,SINGLE,1970-03-11,2025-10-07
108,11107,AW00011107,BIANCA,LIN,AUSTRALIA,FEMALE,MARRIED,1976-03-04,2025-10-07
109,11108,AW00011108,KARI,ALVAREZ,AUSTRALIA,FEMALE,SINGLE,1969-01-10,2025-10-07
110,11109,AW00011109,RUBEN,KAPOOR,AUSTRALIA,MALE,SINGLE,1980-04-30,2025-10-07
111,11110,AW00011110,CURTIS,YANG,AUSTRALIA,MALE,MARRIED,1967-12-04,2025-10-07
112,11111,AW00011111,MEREDITH,GUTIERREZ,AUSTRALIA,FEMALE,MARRIED,1967-08-23,2025-10-07
113,11112,AW00011112,CRYSTAL,WANG,AUSTRALIA,FEMALE,MARRIED,1968-03-08,2025-10-07
114,11113,AW00011113,MICHEAL,BLANCO,AUSTRALIA,MALE,MARRIED,1973-02-17,2025-10-07
115,11114,AW00011114,LESLIE,MORENO,AUSTRALIA,FEMALE,SINGLE,1967-11-25,2025-10-07
116,11115,AW00011115,ALVIN,CAI,AUSTRALIA,MALE,MARRIED,1967-08-12,2025-10-07
117,11116,AW00011116,CLINTON,CARLSON,AUSTRALIA,MALE,MARRIED,1979-04-02,2025-10-07
118,11117,AW00011117,APRIL,DENG,AUSTRALIA,FEMALE,MARRIED,1966-08-21,2025-10-07
119,11118,AW00011118,ALVIN,ZENG,AUSTRALIA,MALE,SINGLE,1962-12-31,2025-10-07
120,11119,AW00011119,EVAN,JAMES,AUSTRALIA,MALE,SINGLE,1940-10-07,2025-10-07
121,11120,AW00011120,BETH,JIM├⌐NEZ,AUSTRALIA,FEMALE,SINGLE,1942-02-06,2025-10-07
122,11121,AW00011121,ORLANDO,SUAREZ,AUSTRALIA,MALE,MARRIED,1966-05-18,2025-10-07
123,11122,AW00011122,BYRON,VAZQUEZ,AUSTRALIA,MALE,MARRIED,1965-09-30,2025-10-07
124,11123,AW00011123,PHILIP,ALVAREZ,AUSTRALIA,MALE,MARRIED,1965-12-18,2025-10-07
125,11124,AW00011124,ROSS,JORDAN,AUSTRALIA,MALE,SINGLE,1968-07-23,2025-10-07
126,11125,AW00011125,DANA,NAVARRO,AUSTRALIA,FEMALE,SINGLE,1961-10-06,2025-10-07
127,11126,AW00011126,SHAUN,CARSON,AUSTRALIA,MALE,MARRIED,1954-10-05,2025-10-07
128,11127,AW00011127,JAN,EDWARDS,UNITED STATES,FEMALE,MARRIED,1981-04-19,2025-10-07
129,11128,AW00011128,SAMANTHA,LONG,UNITED STATES,FEMALE,MARRIED,1981-06-03,2025-10-07
130,11129,AW00011129,JULIA,WRIGHT,UNITED STATES,FEMALE,SINGLE,1981-02-01,2025-10-07
131,11130,AW00011130,CAROLINE,RUSSELL,UNITED STATES,FEMALE,MARRIED,1985-07-05,2025-10-07
132,11131,AW00011131,AMANDA,RIVERA,CANADA,FEMALE,MARRIED,1985-09-09,2025-10-07
133,11132,AW00011132,MELISSA,RICHARDSON,CANADA,FEMALE,SINGLE,1986-04-25,2025-10-07
134,11133,AW00011133,ANGELA,GRIFFIN,UNITED STATES,FEMALE,SINGLE,1986-03-08,2025-10-07
135,11134,AW00011134,LARRY,TOWNSEND,AUSTRALIA,MALE,SINGLE,1957-02-22,2025-10-07
136,11135,AW00011135,MARCUS,HARRIS,UNITED STATES,MALE,SINGLE,1985-05-02,2025-10-07
137,11136,AW00011136,BRIANNA,MORGAN,CANADA,FEMALE,SINGLE,1984-04-24,2025-10-07
138,11137,AW00011137,JASMINE,TAYLOR,UNITED STATES,FEMALE,MARRIED,1984-01-17,2025-10-07
139,11138,AW00011138,LAUREN,DAVIS,UNITED STATES,FEMALE,MARRIED,1984-03-14,2025-10-07
140,11139,AW00011139,TANYA,MORENO,AUSTRALIA,FEMALE,SINGLE,1949-11-05,2025-10-07
141,11140,AW00011140,JAVIER,ALVAREZ,UNITED STATES,MALE,SINGLE,1982-08-11,2025-10-07
142,11141,AW00011141,NICOLE,RAMIREZ,UNITED STATES,FEMALE,MARRIED,1982-12-19,2025-10-07
143,11142,AW00011142,EDUARDO,PATTERSON,CANADA,MALE,SINGLE,1983-02-11,2025-10-07
144,11143,AW00011143,JONATHAN,HENDERSON,UNITED STATES,MALE,MARRIED,1982-08-04,2025-10-07
145,11144,AW00011144,EDWARD,HERNANDEZ,UNITED STATES,MALE,SINGLE,1985-03-08,2025-10-07
146,11145,AW00011145,JASMINE,COLEMAN,UNITED STATES,FEMALE,SINGLE,1985-06-06,2025-10-07
147,11146,AW00011146,KARLA,GOEL,AUSTRALIA,FEMALE,SINGLE,1945-02-22,2025-10-07
148,11147,AW00011147,ERNEST,WU,AUSTRALIA,MALE,MARRIED,1944-08-04,2025-10-07
149,11148,AW00011148,ROSS,VAZQUEZ,AUSTRALIA,MALE,MARRIED,1947-02-13,2025-10-07
150,11149,AW00011149,THEODORE,GILL,AUSTRALIA,MALE,MARRIED,1946-10-18,2025-10-07
151,11150,AW00011150,RUSSELL,SHEN,AUSTRALIA,MALE,SINGLE,1946-09-12,2025-10-07
152,11151,AW00011151,MELINDA,GILL,AUSTRALIA,FEMALE,SINGLE,1947-08-25,2025-10-07
153,11152,AW00011152,JAMES,WILLIAMS,UNITED STATES,MALE,SINGLE,1981-07-09,2025-10-07
154,11153,AW00011153,ANGELA,JAMES,UNITED STATES,FEMALE,MARRIED,1981-12-21,2025-10-07
155,11154,AW00011154,MEGAN,WALKER,UNITED STATES,FEMALE,SINGLE,1982-02-18,2025-10-07
156,11155,AW00011155,HUNTER,ROBINSON,UNITED STATES,MALE,SINGLE,1981-07-25,2025-10-07
157,11156,AW00011156,MARIA,ROBERTS,UNITED STATES,FEMALE,SINGLE,1981-08-06,2025-10-07
158,11157,AW00011157,HANNAH,LONG,UNITED STATES,FEMALE,MARRIED,1980-12-08,2025-10-07
159,11158,AW00011158,JASON,WRIGHT,UNITED STATES,MALE,SINGLE,1981-04-06,2025-10-07
160,11159,AW00011159,BRIANNA,HUGHES,UNITED STATES,FEMALE,SINGLE,1981-03-16,2025-10-07
161,11160,AW00011160,MAURICE,TANG,UNITED STATES,MALE,SINGLE,1979-07-08,2025-10-07
162,11161,AW00011161,EMILY,WOOD,UNITED STATES,FEMALE,SINGLE,1979-10-20,2025-10-07
163,11162,AW00011162,CHASE,COX,UNITED STATES,MALE,SINGLE,1979-09-02,2025-10-07
164,11163,AW00011163,GABRIEL,WANG,UNITED STATES,MALE,MARRIED,1980-06-18,2025-10-07
165,11164,AW00011164,DEVIN,BROOKS,UNITED STATES,MALE,SINGLE,1979-11-02,2025-10-07
166,11165,AW00011165,JOCELYN,ALEXANDER,UNITED STATES,FEMALE,MARRIED,1979-01-15,2025-10-07
167,11166,AW00011166,ASHLEY,MARTINEZ,UNITED STATES,FEMALE,SINGLE,1977-10-22,2025-10-07
168,11167,AW00011167,JASMINE,BARNES,UNITED STATES,FEMALE,SINGLE,1978-01-29,2025-10-07
169,11168,AW00011168,DAVID,RODRIGUEZ,UNITED STATES,MALE,SINGLE,1973-11-12,2025-10-07
170,11169,AW00011169,BRYCE,RICHARDSON,UNITED STATES,MALE,MARRIED,1973-12-20,2025-10-07
171,11170,AW00011170,CAROL,HOWARD,UNITED STATES,FEMALE,MARRIED,1973-08-04,2025-10-07
172,11171,AW00011171,JONATHAN,HILL,UNITED STATES,MALE,SINGLE,1978-10-05,2025-10-07
173,11172,AW00011172,GABRIELLE,ADAMS,UNITED STATES,FEMALE,MARRIED,1973-05-20,2025-10-07
174,11173,AW00011173,SARAH,THOMAS,UNITED STATES,FEMALE,SINGLE,1973-02-28,2025-10-07
175,11174,AW00011174,NICHOLAS,ROBINSON,UNITED STATES,MALE,MARRIED,1973-01-09,2025-10-07
176,11175,AW00011175,LUIS,WANG,UNITED STATES,MALE,SINGLE,1968-09-01,2025-10-07
177,11176,AW00011176,MASON,ROBERTS,CANADA,MALE,MARRIED,1979-01-21,2025-10-07
178,11177,AW00011177,JOSE,FLORES,UNITED STATES,MALE,MARRIED,1948-01-01,2025-10-07
179,11178,AW00011178,NATHAN,JOHNSON,UNITED STATES,MALE,MARRIED,1954-08-20,2025-10-07
180,11179,AW00011179,MOLLY,RODRIGUEZ,UNITED STATES,FEMALE,MARRIED,1959-12-08,2025-10-07
181,11180,AW00011180,APRIL,ANAND,UNITED STATES,FEMALE,MARRIED,1948-07-01,2025-10-07
182,11181,AW00011181,DEVIN,MARTIN,UNITED STATES,MALE,MARRIED,1960-02-01,2025-10-07
183,11182,AW00011182,STEPHANIE,TORRES,UNITED STATES,FEMALE,SINGLE,1950-02-22,2025-10-07
184,11183,AW00011183,JASMINE,LEE,UNITED STATES,FEMALE,SINGLE,1950-01-12,2025-10-07
185,11184,AW00011184,MEGHAN,HERNANDEZ,UNITED STATES,FEMALE,SINGLE,1955-11-13,2025-10-07
186,11185,AW00011185,ASHLEY,HENDERSON,CANADA,FEMALE,SINGLE,1950-04-07,2025-10-07
187,11186,AW00011186,SARAH,PRICE,UNITED STATES,FEMALE,SINGLE,1949-11-18,2025-10-07
188,11187,AW00011187,JENNIFER,COOPER,UNITED STATES,FEMALE,MARRIED,1949-08-21,2025-10-07
189,11188,AW00011188,CATHERINE,MORRIS,UNITED STATES,FEMALE,MARRIED,1950-03-06,2025-10-07
190,11189,AW00011189,LAWRENCE,BLANCO,UNITED STATES,MALE,SINGLE,1950-01-12,2025-10-07
191,11190,AW00011190,CARSON,BRYANT,UNITED STATES,MALE,MARRIED,1949-12-20,2025-10-07
192,11191,AW00011191,KRISTI,PEREZ,UNITED STATES,FEMALE,SINGLE,1951-06-17,2025-10-07
193,11192,AW00011192,JAMES,BROWN,UNITED STATES,MALE,MARRIED,1951-03-13,2025-10-07
194,11193,AW00011193,IAN,GRAY,UNITED STATES,MALE,MARRIED,1950-08-13,2025-10-07
195,11194,AW00011194,JACQUELINE,PRICE,UNITED STATES,FEMALE,MARRIED,1950-12-08,2025-10-07
196,11195,AW00011195,MEGAN,HENDERSON,UNITED STATES,FEMALE,MARRIED,1951-08-10,2025-10-07
197,11196,AW00011196,ALFREDO,ROMERO,UNITED STATES,MALE,MARRIED,1951-12-05,2025-10-07
198,11197,AW00011197,ANDREA,MORRIS,UNITED STATES,FEMALE,MARRIED,1951-12-16,2025-10-08
199,11198,AW00011198,BROOKE,SANDERS,UNITED STATES,FEMALE,SINGLE,1952-05-25,2025-10-08
200,11199,AW00011199,JACQUELINE,BENNETT,UNITED STATES,FEMALE,MARRIED,1957-11-02,2025-10-08
201,11200,AW00011200,JASON,GRIFFIN,CANADA,MALE,MARRIED,1953-05-21,2025-10-08
202,11201,AW00011201,AMANDA,FOSTER,UNITED STATES,FEMALE,MARRIED,1953-02-14,2025-10-08
203,11202,AW00011202,ALEXIA,PRICE,UNITED STATES,FEMALE,MARRIED,1958-08-22,2025-10-08
204,11203,AW00011203,LUIS,DIAZ,CANADA,MALE,MARRIED,1959-08-18,2025-10-08
205,11204,AW00011204,DESTINY,RIVERA,UNITED STATES,FEMALE,MARRIED,1953-11-29,2025-10-08
206,11205,AW00011205,ABBY,FERNANDEZ,UNITED STATES,FEMALE,MARRIED,1954-01-21,2025-10-08
207,11206,AW00011206,BLAKE,FLORES,UNITED STATES,MALE,MARRIED,1954-03-24,2025-10-08
208,11207,AW00011207,DANIELLE,COX,UNITED STATES,FEMALE,SINGLE,1954-01-16,2025-10-08
209,11208,AW00011208,MARIA,REED,UNITED STATES,FEMALE,MARRIED,1953-08-03,2025-10-08
210,11209,AW00011209,ALLISON,EVANS,UNITED STATES,FEMALE,MARRIED,1953-07-12,2025-10-08
211,11210,AW00011210,EDWARD,WOOD,UNITED STATES,MALE,MARRIED,1953-12-06,2025-10-08
212,11211,AW00011211,SAMANTHA,RUSSELL,CANADA,FEMALE,MARRIED,1960-10-08,2025-10-08
213,11212,AW00011212,CHLOE,CAMPBELL,CANADA,FEMALE,MARRIED,1955-05-05,2025-10-08
214,11213,AW00011213,STEPHANIE,MURPHY,UNITED STATES,FEMALE,SINGLE,1954-11-11,2025-10-08
215,11214,AW00011214,CHARLES,MILLER,UNITED STATES,MALE,SINGLE,1955-05-07,2025-10-08
216,11215,AW00011215,ANA,PERRY,CANADA,FEMALE,MARRIED,1961-06-17,2025-10-08
217,11216,AW00011216,JASMINE,TORRES,UNITED STATES,FEMALE,SINGLE,1955-11-17,2025-10-08
218,11217,AW00011217,NATALIE,ADAMS,UNITED STATES,FEMALE,SINGLE,1955-08-11,2025-10-08
219,11218,AW00011218,OLIVIA,BROWN,UNITED STATES,FEMALE,SINGLE,1961-09-07,2025-10-08
220,11219,AW00011219,CHARLES,COOK,UNITED STATES,MALE,MARRIED,1956-05-31,2025-10-08
221,11220,AW00011220,ERICA,HUANG,UNITED STATES,FEMALE,MARRIED,1961-02-19,2025-10-08
222,11221,AW00011221,NATHAN,PERRY,UNITED STATES,MALE,MARRIED,1955-12-08,2025-10-08
223,11222,AW00011222,ALEXANDRA,RIVERA,UNITED STATES,FEMALE,MARRIED,1956-02-14,2025-10-08
224,11223,AW00011223,HAILEY,PATTERSON,CANADA,FEMALE,SINGLE,1957-03-15,2025-10-08
225,11224,AW00011224,TIFFANY,LI,UNITED STATES,FEMALE,SINGLE,1957-03-05,2025-10-08
226,11225,AW00011225,MADISON,LEE,UNITED STATES,FEMALE,MARRIED,1962-02-12,2025-10-08
227,11226,AW00011226,SYDNEY,ROSS,UNITED STATES,FEMALE,MARRIED,1962-09-23,2025-10-08
228,11227,AW00011227,MARSHALL,CHAVEZ,UNITED STATES,MALE,SINGLE,1962-08-08,2025-10-08
229,11228,AW00011228,ASHLEY,JONES,UNITED STATES,FEMALE,MARRIED,1956-10-16,2025-10-08
230,11229,AW00011229,ADRIAN,STEWART,UNITED STATES,MALE,SINGLE,1957-06-01,2025-10-08
231,11230,AW00011230,AMBER,TURNER,UNITED STATES,FEMALE,MARRIED,1956-09-30,2025-10-08
232,11231,AW00011231,DENNIS,ZHANG,UNITED STATES,MALE,MARRIED,1963-11-11,2025-10-08
233,11232,AW00011232,HAILEY,BRYANT,UNITED STATES,FEMALE,MARRIED,1958-03-27,2025-10-08
234,11233,AW00011233,TODD,LI,UNITED STATES,MALE,MARRIED,1963-09-06,2025-10-08
235,11234,AW00011234,ANNA,GRIFFIN,UNITED STATES,FEMALE,SINGLE,1958-05-19,2025-10-08
236,11235,AW00011235,ANGEL,STEWART,UNITED STATES,MALE,MARRIED,1957-08-07,2025-10-08
237,11236,AW00011236,JEREMY,BUTLER,UNITED STATES,MALE,SINGLE,1957-09-02,2025-10-08
238,11237,AW00011237,CLARENCE,ANAND,GERMANY,MALE,SINGLE,1964-03-22,2025-10-08
239,11238,AW00011238,MAYRA,PRASAD,UNITED KINGDOM,FEMALE,SINGLE,1964-02-07,2025-10-08
240,11239,AW00011239,LATOYA,GOEL,UNITED KINGDOM,FEMALE,MARRIED,1969-10-02,2025-10-08
241,11240,AW00011240,ANNE,HERNANDEZ,UNITED KINGDOM,FEMALE,MARRIED,1964-06-09,2025-10-08
242,11241,AW00011241,LISA,CAI,FRANCE,FEMALE,SINGLE,1974-04-06,2025-10-08
243,11242,AW00011242,LARRY,MUNOZ,FRANCE,MALE,MARRIED,1963-05-11,2025-10-08
244,11243,AW00011243,ROBIN,ALVAREZ,UNITED KINGDOM,FEMALE,MARRIED,1963-04-08,2025-10-08
245,11244,AW00011244,ALEXIS,COLEMAN,UNITED KINGDOM,FEMALE,SINGLE,1968-11-22,2025-10-08
246,11245,AW00011245,RICKY,VAZQUEZ,GERMANY,MALE,MARRIED,1962-04-26,2025-10-08
247,11246,AW00011246,LATASHA,RUBIO,GERMANY,FEMALE,MARRIED,1962-04-08,2025-10-08
248,11247,AW00011247,CLAUDIA,ZHOU,UNITED KINGDOM,FEMALE,SINGLE,1961-12-04,2025-10-08
